id,company,post_title,post_date,post_text,tipo,assunto,modelo,post_likes,post_comments,post_video_views,post_hashtags,origin
0,everis,,2020-10-01,"Em parceria com o #MITSloanReviewBrasil, realizamos hoje um Round Table com especialistas em #InteligênciaArtificial da América Latina, para debater sobre os principais impactos desta tecnologia no Brasil. Agradecemos a todos que participaram do evento online e também a presença de todos os speakers, Evandro Armelin, head de data & analytics da everis Brasil; Lluis Quiles Ardila, diretor de data science da everis Brasil; Sara Álvarez, diretora de inovação da MIT Technology Review; Renato Vieira, gerente de arquitetura e inovação na BR Distribuidora; Washington Vital, head de data analytics na SulAmérica e Fabricio Bindi, diretor de customer insights e inteligência artificial da Vivo. Você pode conferir o estudo completo, acessando https://lnkd.in/dq45j2R #everis #everisBrasil #EstudioIA'",técnico,inteligencia artifical,round table,17,1,0,"#MITSloanReviewBrasil,, #InteligênciaArtificial, #everis, #everisBrasil, #EstudioIA'",linkedin
1,everis,,2020-10-01,"Neste #webinar, especialistas da #everisBrasil falarão sobre as estratégias de Qualidade e como elas poderão melhorar a implementação do SRE. Inscreva-se: https://lnkd.in/g6hrP5P #everis #ITServices'",técnico,SRE,webinar,14,0,0,"#webinar,, #everisBrasil, #everis, #ITServices'",linkedin
2,everis,,2020-10-01,"Apresentamos o painel “2020: Visão dos diferentes elos da cadeia de saúde sobre qual foi a tecnologia mais alavancada pelas mudanças recentes do cenário do setor” na da 6ª edição do Healthcare Innovation Show (HIS), com Alejandro Morán Marco, Head Global de Health da everis. Agradecemos a todos que participaram. Veja como foi! #NTTDATA #everisBrasil #HIS'",negócios,setor health,painel,20,1,0,"#NTTDATA, #everisBrasil, #HIS'",linkedin
3,everis,,2020-09-30,"Neste #webinar, especialistas da #everisBrasil falarão sobre as estratégias de Qualidade e como elas poderão melhorar a implementação do SRE. Inscreva-se: https://lnkd.in/g6hrP5P #everis #ITServices'",técnico,SRE,webinar,35,0,0,"#webinar,, #everisBrasil, #everis, #ITServices'",linkedin
4,everis,,2020-09-30,"No episódio de hoje, da série #WakeUp, Adam aprendeu que priorização e automação inteligente, economizam tempo e também aumentam a produtividade. Acesse o vídeo e veja como estamos planejando o futuro!https://lnkd.in/gNP-iuC #everis #everisBrasil #NTTDATA #everisWakeUp'",técnico,automação inteligente,podcast,3,0,0,"#WakeUp,, #everis, #everisBrasil, #NTTDATA, #everisWakeUp'",linkedin
5,everis,,2020-09-30,"Um #podcast muito interessante, com especialistas da everis, sobre o uso de dados para desenhar a melhor experiência do cliente.SPOTIFY https://spoti.fi/3hKweeo GOOGLE https://bit.ly/2FJZqFBAPPLE https://apple.co/32IvQJl DEEZER https://bit.ly/3hNMOdjTUNEIN https://bit.ly/2RKUUJ7#everis #everisBrasil #everisTalksPodcast #Strategy&Tech'",negócios,dados para desenhar a melhor experiência do cliente,podcast,6,0,0,"#podcast, #everis, #everisBrasil, #everisTalksPodcast, #Strategy&Tech'",linkedin
6,everis,,2020-09-30,"Sua #startup pode ser a próxima a representar o Brasil!Buscamos projetos nas áreas de #Banking, #Telecom, Utilities & #Energy, #Retail & #ConsumerGoods que estejam trabalhando para mudar esses setores! Conheça como foi a edição de 2019. Agora, queremos conhecer você!Inscreva-se: https://lnkd.in/geZ_Hic #everis #everisBrasil #OpenInnovation #OIC11'",negócios,startups,post,16,0,0,"#startup, #Banking,, #Telecom,, #Energy,, #Retail, #ConsumerGoods, #everis, #everisBrasil, #OpenInnovation, #OIC11'",linkedin
7,everis,,2020-09-30,Saiba quais são as 5 principais capacidades que devem ser desenvolvidas e aprimoradas para melhorar suas condições de empregabilidade em tempos de crise. Acesse: https://lnkd.in/g3WF49z #everis #everisBrasil',employer branding,empregabilidade,post,5,0,0,"#everis, #everisBrasil'",linkedin
8,everis,,2020-09-30,"Eber Anacleto Silva, Analista de testes em acessibilidade da everis Brasil nos explica neste artigo, o que é Acessibilidade Digital e quais suas implicações.Acesse: https://lnkd.in/gKkRThP#everis #everisBrasil #Strategy&Tech #everisCoE'",técnico,Acessibilidade Digital,artigo,32,0,0,"#everis, #everisBrasil, #Strategy&Tech, #everisCoE'",linkedin
9,everis,,2020-09-30,Neste #podcast abordamos a importância da governança de dados e como ela pode fazer diferença na qualidade dos dados que serão utilizados pelo negócio na tomada de decisões.Spotify https://spoti.fi/3lzN0AbGoogle https://lnkd.in/gJkZW9EApple https://apple.co/3hNOGUlDeezer https://lnkd.in/gi_5hi7Tunein https://lnkd.in/gsFui9f#everis #everisBrasil #everisTalksPodcast #Strategy&Tech #everisDX',negócios,governança de dados,podcast,6,0,0,"#podcast, #everis, #everisBrasil, #everisTalksPodcast, #Strategy&Tech, #everisDX'",linkedin
10,everis,,2020-09-25,"O CEO, Ricardo Neves, e a Diretora de People, Rita Souza, da everis Brasil contam em entrevista ao Valor Econômico,  como adaptação tem sido desenvolvida nos processos da empresa para manter o contato com os funcionários e garantir que o relacionamento próximo entre as equipes seja mantido. Eles acrescentaram também sobre a importância do processo de on-boarding e quais são os planos para o cenário de pandemia para o próximo ano. Confira a matéria completa! http://bit.ly/everisValor #everis #everisBrasil #Beveris #Career'",employer branding,HO,RP,6,0,0,"#everis, #everisBrasil, #Beveris, #Career'",linkedin
11,everis,,2020-09-30,"Estivemos presente no palco virtual da 6ª edição do Healthcare Innovation Show (HIS), apresentando o painel “Como garantir eficiência operacional através de RPA’s?” com KATIA GALVANE, Diretora de Health da everis Brasil. Confira um pouco do painel! #NTTDATA #everisBrasil #HIS'",negócios,setor health,painel,29,0,0,"#NTTDATA, #everisBrasil, #HIS'",linkedin
12,everis,,2020-09-26,"Em parceria com o #MITSloanReviewBrasil, convidamos especialistas em #InteligênciaArtificial para debater sobre os principais impactos da #IA no Brasil. O encontro será no dia 01 de outubro, 9h30. Inscreva-se: http://bit.ly/everisMIT-l #everis #everisBrasil #EstudioIA'",negócios,inteligencia artifical,webinar,10,0,0,"#MITSloanReviewBrasil,, #InteligênciaArtificial, #IA, #everis, #everisBrasil, #EstudioIA'",linkedin
13,everis,,2020-09-29,"Neste #webinar debatemos o que muda na rotina diária das empresas com a Lei Geral de Proteção de Dados Pessoais em vigor e como fica o papel do DPO (Data Protection Officer). O conteúdo está disponível, acesse agora mesmo: https://lnkd.in/gSxwPtw #everis #everisBrasil #cybersecurity'",negócios,LGPD,webinar,19,0,0,"#webinar, #everis, #everisBrasil, #cybersecurity'",linkedin
14,everis,,2020-09-26,"Segundo levantamento realizado para o estudo ""Inteligência Artificial nas grandes organizações Latino-Americanas"", a falta de talento especializado é um dos principais desafios para o desenvolvimento dos projetos de IA dentro de uma organização. Conheça todos os dados da pesquisa, baixe estudo: https://lnkd.in/dq45j2R #everis #everisBrasil #EstudoIA #InteligênciaArtificial #Digital&Strategy'",negócios,inteligencia artifical,estudo,9,0,0,"#everis, #everisBrasil, #EstudoIA, #InteligênciaArtificial, #Digital&Strategy'",linkedin
15,everis,,2020-09-29,"Em parceria com o #MITSloanReviewBrasil, convidamos especialistas em #InteligênciaArtificial da América Latina, para debater sobre os principais impactos desta tecnologia no Brasil.O evento online será no dia 01 de outubro, às 9h30. Inscreva-se: http://bit.ly/everisMIT-l #everis #everisBrasil #EstudioIA'",negócios,inteligencia artifical,webinar,30,0,0,"#MITSloanReviewBrasil,, #InteligênciaArtificial, #everis, #everisBrasil, #EstudioIA'",linkedin
16,everis,,2020-09-29,"Claro e everis, uma empresa do grupo  NTT DATA, junto com 6 líderes de TIC, participarão do evento TM Forum´s Digital Transformation World Series 2020, apresentando seu Time Crunching 5G RAN Rollout with IA, que visa otimizar e acelerar o processo de implantação da rede #5G. Obtenha mais detalhes aqui: https://bit.ly/3kLmItE #everis #everisBrasil #everisOpenNetworks'",negócios,Transformação Digital,webinar,27,0,0,"#5G., #everis, #everisBrasil, #everisOpenNetworks'",linkedin
17,everis,,2020-09-29,"As empresas de todos os níveis e tamanhos são formadas por ecossistemas complexos de pessoas, cultura, sistemas, fluxos e mentalidade. Saiba como conectar princípios de agilidade na gestão de fluxos e sistemas de trabalho: https://lnkd.in/gWS-N6Y #everis #everisBrasil #Strategy&Tech #everisCoE'",employer branding,ágil,post,8,0,0,"#everis, #everisBrasil, #Strategy&Tech, #everisCoE'",linkedin
18,everis,,2020-09-29,"De acordo com análise do estudo Hybrid Operations, 53% das pessoas serão realocados para atividades com maior valor agregado, acesse estudo completo: https://lnkd.in/gUqgm-6 #everis #everisBrasil #HybridOperations #TransformaçãoDigital'",negócios,Transformação Digital,estudo,7,0,0,"#everis, #everisBrasil, #HybridOperations, #TransformaçãoDigital'",linkedin
19,everis,,2020-09-28,"Lucimara Marques, Consultora Coach de Agilidade na everis Brasil, marcou presença em uma bate papo sobre liderança de times ágeis, falando para um público do setor bancário, com mais de 100 pessoas. No evento, também discutiram as 5 disfunções de uma equipe e como elas afetam diretamente a performance e o resultado do trabalho.#everis #everisBrasil'",técnico,Liderança,,44,0,0,"#everis, #everisBrasil'",linkedin
20,everis,,2020-09-25,"Conheça o panorama de como as grandes empresas estão promovendo e acelerando a transformação digital e adoção de tecnologias emergentes para inovar. Inscreva-se no #webinar “Open Innovation Contest: Capacidades que potencializam a inovação!”Dia 29 de outubro, 19hs.https://lnkd.in/gHxtvqr #everis #everisBrasil #everisTalks #Strategy&Tech'",negócios,Transformação Digital,round table,8,0,0,"#webinar, #everis, #everisBrasil, #everisTalks, #Strategy&Tech'",linkedin
21,everis,,2020-09-25,"Em parceria com o #MITSloanReviewBrasil, convidamos especialistas em #InteligênciaArtificial da América Latina, para debatermos sobre os principais impactos da #IA no Brasil. Comandarão a conversa,Evandro Armelin, head de data & analytics da everis Brasil; Lluis Quiles Ardila, diretor de data science da everis Brasil; Sara Álvarez, diretora de inovação da MIT Technology Review; Renato Vieira, gerente de arquitetura e inovação na BR Distribuidora; Washington Vital, head de data analytics na SulAmérica e Fabricio Bindi, diretor de customer insights e inteligência artificial da Vivo.O encontro será no dia 01 de outubro, 9h30. Inscreva-se: http://bit.ly/everisMIT-l#everis #everisBrasil #EstudioIA'",negócios,inteligencia artifical,webinar,20,0,0,"#MITSloanReviewBrasil,, #InteligênciaArtificial, #IA, #everis, #everisBrasil, #EstudioIA'",linkedin
22,everis,,2020-09-29,"Inteligência de dados, automação inteligente, experiência do cliente, IoT, Otimização de TI e cibersegurança, são áreas que, combinadas, trarão os melhores resultados pensando na tecnologia do futuro! Essa experiência poderá ser vivida e nós mostraremos esse aspecto na 2° temporada de #WakeUp! Os episódios já estão disponíveis e você pode assistir a introdução dessa série criada pela #NTTDATA, acessando: https://lnkd.in/gVpej9C#everis #everisBrasil #everisWakeUp'",negócios,inovação,podcast,16,0,0,"#WakeUp!, #NTTDATA,, #everis, #everisBrasil, #everisWakeUp'",linkedin
23,everis,,2020-09-25,"Buscarmos #startups 🚀Se seu projeto é nos setores de #Banking, #Telecom, Utilities & #Energy, #Retail & #ConsumerGoods, esse é o seu momento de fazer negócio. Inscreva-se na 11ª edição do\xa0Open\xa0Innovation\xa0Contest.▶️Conheça mais sobre essa competição mundial: https://lnkd.in/geZ_Hic #everis #everisBrasil #OpenInnovation #OIC11'",negócios,startups,competição,8,2,0,"#startups, #Banking,, #Telecom,, #Energy,, #Retail, #ConsumerGoods,, #everis, #everisBrasil, #OpenInnovation, #OIC11'",linkedin
24,everis,,2020-09-25,"Como o setor bancário pode conquistar, fidelizar e tornar a experiência do consumidor completa e satisfeita? Continue a leitura: https://lnkd.in/gPDDayN #everis #everisBrasil #Strategy&Tech'",negócios,bancos,artigo,4,0,0,"#everis, #everisBrasil, #Strategy&Tech'",linkedin
25,everis,,2020-09-29,"Conheça as 6 tendências que dominam o mercado de seguros, com Bruno Abril, Global Head of Insurance na everis (artigo em inglês) https://bit.ly/2Ab1u6s #everis #everisBrasil #InsurtechNTTDATA #Insurtecheveris #InsurtechGlobalOutlook2020'",negócios,seguradoras,artigo,10,0,0,"#everis, #everisBrasil, #InsurtechNTTDATA, #Insurtecheveris, #InsurtechGlobalOutlook2020'",linkedin
26,everis,,2020-09-29,"Mais de 58% das principais organizações da América Latina, creem que a #IA poderá revolucionar sua empresa. https://lnkd.in/dq45j2R #everis #everisBrasil #EstudoIA #InteligenciaArtificial #Digital&Strategy'",negócios,inteligencia artifical,estudo,8,0,0,"#IA, #everis, #everisBrasil, #EstudoIA, #InteligenciaArtificial, #Digital&Strategy'",linkedin
27,everis,,2020-09-25,"No #webinar “Open Innovation Contest: Capacidades que potencializam a inovação!” falaremos sobre a importância da sinergia entre #startups e grandes organizações para geração de novos negócios.Dia 29 de outubro, 19hs. Inscreva-se: https://lnkd.in/gHxtvqr #everis #everisBrasil #everisTalks #Strategy&Tech'",negócios,inovação,webinar,20,0,0,"#webinar, #startups, #everis, #everisBrasil, #everisTalks, #Strategy&Tech'",linkedin
28,everis,,2020-09-25,"everis tem novo diretor de Processos de Negócio e Operações Digitais, Leonardo da Costa acaba de assumir a unidade de operações, como diretor responsável por Processos de Negócios e Operações Digitais da everis Brasil, consultoria de Negócios e TI, do Grupo NTT Data. https://lnkd.in/gtfrWMD #everis #everisBrasil #everisNaMídia'",branding,contratação executivo,RP,6,0,0,"#everis, #everisBrasil, #everisNaMídia'",linkedin
29,everis,,2020-09-25,"Os modelos de negócios com maior crescimento no investimento e no interesse das seguradoras têm sido o desenvolvimento de plataformas, micros seguros, seguros sob demanda e pago por uso.  http://bit.ly/2xgfVox #everis #everisBrasil #InsurtechNTTDATA #Insurtecheveris'",negócios,seguradoras,artigo,2,0,0,"#everis, #everisBrasil, #InsurtechNTTDATA, #Insurtecheveris'",linkedin
30,everis,,2020-09-26,"Nos últimos meses, a #everis contratou 15 profissionais da EDUCAFRO organização que tem a missão empoderar, formar e promover a inclusão da população negra (em especial) em universidades e no mercado de trabalho. Na última quinta-feira, 17 de setembro, Ricardo Neves, CEO da everis Brasil e Michel C. Gobbato, sócio na #everisBrasil, se reuniram virtualmente com os profissionais contratados para ouvirem suas histórias e promoverem a integração de todos eles ao time. Uma experiência fantástica! #BEveris'",employer branding,inclusão,post,111,4,0,"#everis, #everisBrasil,, #BEveris'",linkedin
31,everis,,2020-09-28,"Business Agility é para todos? Como deve agir a liderança em Business Agility? Esses são temas debatidos neste #podcast, por experts da everis Brasil. SPOTIFY https://spoti.fi/3jgjuh6GOOGLE https://bit.ly/2Hu5RwV APPLE https://apple.co/3046fZB DEEZER https://bit.ly/2FYNZtC TUNEIN https://bit.ly/332I8MN#everis #everisBrasil #everisTalksPodcast'",técnico,Business Agility,podcast,8,0,0,"#podcast,, #everis, #everisBrasil, #everisTalksPodcast'",linkedin
32,everis,,2020-09-24,"Nós reunimos conteúdos em formatos de e-books, vídeos e podcasts que ajudam você a pensar e estruturar o seu negócio e a participar em cada uma das etapas do Prêmio Empreenda Saúde! Você encontrará esse material, acessando: https://lnkd.in/gGZ_Kvj. #everis #everisBrasil #EmpreendaSaúde #Premioseveris #Fundaçãoeveris'",negócios,health,estudo,3,0,0,"#everis, #everisBrasil, #EmpreendaSaúde, #Premioseveris, #Fundaçãoeveris'",linkedin
33,everis,,2020-09-28,No #webinar “Open Innovation Contest: Capacidades que potencializam a inovação!” falaremos sobre a importância da sinergia entre #startups e grandes organizações para geração de novos negócios.Inscreva-se: https://lnkd.in/gHxtvqr #everis #everisBrasil #everisTalks #Strategy&Tech',negócios,startup,webinar,4,0,0,"#webinar, #startups, #everis, #everisBrasil, #everisTalks, #Strategy&Tech'",linkedin
34,everis,,2020-09-24,"O Instituto do Coração (InCor), uniu esforços com a #everisBrasil, NTT Disruption e a Xilinx, Inc. para testar a Observação Virtual de Pacientes (VPO) da NTT Disruption, uma nova solução tecnológica para Unidades de Tratamento Intensivo (UTI).  https://lnkd.in/gExsYYi #NTTDATA'",negócios,health,case,13,0,0,"#everisBrasil,, #NTTDATA'",linkedin
35,everis,,2020-09-27,"Venha discutir conosco sobre como a pesquisa fundamental de hoje pode ajudar a construir a base para um futuro melhor.De 28 de setembro a 01 de outubro de 2020.Participe do NTT Research Virtual Summit, inscreva-se: https://lnkd.in/e8d4SAZ#everis #NTTDATA'",negócios,inovação,evento próprio,5,0,0,"#everis, #NTTDATA'",linkedin
36,everis,,2020-09-24,"Em pouco tempo, a computação espacial permitirá que o mundo físico interaja com o digital e a nossa experiência será alterada de forma profunda. Conheça mais sobre o tema, neste #podcast:SPOTIFY https://spoti.fi/2RGxLYAGOOGLE https://bit.ly/3kumqXJAPPLE https://apple.co/3mxf0F2 DEEZER https://bit.ly/2Hdc2FETUNEIN https://bit.ly/3myaHt0 #everis #everisBrasil #everisTalksPodcast #Strategy&Tech #everisInnovation'",negócios,inovação,podcast,9,0,0,"#podcast:SPOTIFY, #everis, #everisBrasil, #everisTalksPodcast, #Strategy&Tech, #everisInnovation'",linkedin
37,everis,,2020-09-26,SRE é o tema central deste #podcast! Entenda como se propaga a disciplina de SRE em grandes corporações brasileiras e como se estrutura a confiabilidade e a resiliência dos sistemas.SPOTIFY https://spoti.fi/3cHSwwNGOOGLE https://bit.ly/2EwrV90APPLE https://apple.co/30pKQdFDEEZER https://bit.ly/362y3RUTUNEIN https://bit.ly/342pio2#everis #everisBrasil #everisTalksPodcast',técnico,SRE,podcast,17,1,0,"#podcast!, #everis, #everisBrasil, #everisTalksPodcast'",linkedin
38,everis,,2020-09-27,"Conheça o panorama de como as grandes empresas estão promovendo e acelerando a transformação digital e adoção de tecnologias emergentes para inovar. Inscreva-se no #webinar “Open Innovation Contest: Capacidades que potencializam a inovação!”Dia 29 de outubro, 19hs.https://lnkd.in/gHxtvqr #everis #everisBrasil #everisTalks #Strategy&Tech'",negócios,transformação digital,webinar,9,0,0,"#webinar, #everis, #everisBrasil, #everisTalks, #Strategy&Tech'",linkedin
